"","X","MachineID","MachineModel","ServicePeriod","No.Replacements","No.schservice","No.Repairs","mean_Compreplaced","min_Compreplaced","max_Compreplaced","mean_schrepair","min_schrepair","max_schrepair","mean_comprepair","min_comprepair","max_comprepair","error2","error3","error4","error5","error1","Noaction_Errors","Range_Sensor1_Noerror","Mean_Sensor1_Noerror","Range_Sensor2_Noerror","Mean_Sensor2_Noerror","Range_Sensor3_Noerror","Mean_Sensor3_Noerror","Range_Sensor4_Noerror","Mean_Sensor4_Noerror","Range_Sensor1_error2","Mean_Sensor1_error2","Range_Sensor2_error2","Mean_Sensor2_error2","Range_Sensor3_error2","Mean_Sensor3_error2","Range_Sensor4_error2","Mean_Sensor4_error2","Range_Sensor1_error3","Mean_Sensor1_error3","Range_Sensor2_error3","Mean_Sensor2_error3","Range_Sensor3_error3","Mean_Sensor3_error3","Range_Sensor4_error3","Mean_Sensor4_error3","Range_Sensor1_error4","Mean_Sensor1_error4","Range_Sensor2_error4","Mean_Sensor2_error4","Range_Sensor3_error4","Mean_Sensor3_error4","Range_Sensor4_error4","Mean_Sensor4_error4","Range_Sensor1_error5","Mean_Sensor1_error5","Range_Sensor2_error5","Mean_Sensor2_error5","Range_Sensor3_error5","Mean_Sensor3_error5","Range_Sensor4_error5","Mean_Sensor4_error5","Range_Sensor1_error1","Mean_Sensor1_error1","Range_Sensor2_error1","Mean_Sensor2_error1","Range_Sensor3_error1","Mean_Sensor3_error1","Range_Sensor4_error1","Mean_Sensor4_error1","Max_Occuring_error","Max_replaced_Comp","Max_service_comp","error2._NO.Comp_replacements","error3._NO.Comp_replacements","error4._NO.Comp_replacements","error5._NO.Comp_replacements","error1._NO.Comp_replacements"
"1",1,"MID10801","model4",21,8,1,18,38.57142857,15,60,0,0,0,29.53333333,15,98,4,5,2,4,3,7,125.366862507322,170.955224410835,445.988307618432,446.972880673123,89.5428884811931,100.708658016849,46.0454100663285,40.433159050825,29.229533610527,178.782256937306,231.853096151369,416.354554626636,12.0458772439578,101.308399293793,7.2777684089227,41.4422589624037,29.229533610527,172.893378232805,162.470879111567,407.694158919643,12.0458772439578,100.230221160098,9.8195258073243,41.4814687513545,15.927281254662,152.60913589962,104.084756216454,459.528016888068,23.0742312721752,100.692970720541,3.6758724481321,42.476799260569,26.232324045381,168.890157174421,163.797529330609,437.663067311731,15.5797974798009,96.5694925787556,3.4918423471799,53.3756630848865,10.577650324529,167.405947161052,46.084048239301,472.943293193867,25.428020706508,98.0982508682663,15.7159473364583,37.1225294527063,"error3","Component4","Component1",2,2,0,4,2
"2",2,"MID10802","model4",21,6,1,23,63.75,15,135,0,0,0,26.77777778,15,105,3,3,1,2,2,2,116.210959341696,170.828033300062,423.753268661132,446.69450839859,87.5070666015965,100.88240169237,46.951324584627,40.405212971362,60.997470821094,164.171563626841,66.564789438074,365.54741869289,8.96766483624479,93.4383549143526,10.0063960700833,44.0609544752323,60.997470821094,164.171563626841,66.564789438074,365.54741869289,8.96766483624479,93.4383549143526,10.0063960700833,44.0609544752323,0,172.156101433763,0,338.636281417581,0,114.751671010637,0,38.9128666848556,15.316705827444,189.843684231844,50.8605261573441,477.784288508456,3.9749078700078,100.055840950103,11.2968799469056,57.1512876660056,0.453432205731986,181.958615215256,54.335778794329,476.046662189964,1.04456123814501,101.521014266034,17.2399499862868,42.8828726994094,"error2, error3","Component2","Component2",3,3,0,3,2
"3",3,"MID10803","model1",20,15,2,8,25,15,90,30,30,30,62.5,15,210,4,4,6,3,6,4,130.3374,170.777293882147,396.8474,445.624637883148,115.87698,101.309254670337,42.40768,40.5325683973477,7.1977,178.66995,174.0077,384.94875,6.76158000000001,98.4884725,15.51002,37.9047125,7.1977,178.66995,174.0077,384.94875,6.76158000000001,98.4884725,15.51002,37.9047125,40.6837,175.54365,166.2279,488.886383333333,67.76047,113.229983333333,11.54396,39.1404633333333,15.4687,175.654933333333,292.504,388.710833333333,30.79878,105.961073333333,2.03831,47.5069333333333,50.8663,181.473216666667,99.9168,459.71735,42.85,107.311175,15.6279,38.5251583333333,"error1, error4","Component1, Component2, Component3","Component3, Component4",4,4,5,4,6
"4",4,"MID10804","model2",20,13,0,20,27.27272727,15,45,0,0,0,24.88888889,15,60,4,4,6,4,3,4,123.5902,171.137868860253,431.7088,445.563566858501,100.81591,101.620190922057,43.71198,40.5831626122857,25.4513,178.5648,68.4319,385.735425,30.93758,105.373305,15.3696,40.2187425,39.4362,175.068575,198.2791,420.759675,30.93758,106.782505,11.37403,38.3430125,48.7128,166.551966666667,170.6415,429.7364,37.3434,130.11265,13.37405,42.4243583333333,36.1591,176.9685,167.2251,436.8933,20.03568,96.436135,17.86047,45.8096125,54.4751,181.417666666667,136.4148,419.135133333333,20.26011,106.95533,2.64288,37.1785066666667,"error4","Component3","None",4,4,5,4,2
"5",5,"MID10805","model2",20,11,1,17,31.5,15,45,0,0,0,27.6875,15,128,2,2,4,5,3,4,125.0078,170.762578761726,408.4745,447.86074641651,90.94311,101.428132746717,51.21889,40.6013467917448,1.12539999999998,173.343,197.7896,420.8123,2.13589999999999,109.79025,10.29851,37.102055,26.9449,186.25275,158.5854,401.2102,7.3381,114.52725,3.03106,40.73578,35.7083,170.048325,135.09,494.4868,8.87050000000001,128.154225,6.17605,40.7261275,16.824,168.20472,112.8399,457.8352,24.89028,98.386562,6.27782999999999,52.30924,32.2833,182.7951,33.1551,441.478233333333,15.34491,104.99143,9.37904,39.3842333333333,"error5","Component4","Component1",1,1,4,5,1
"6",6,"MID10806","model2",20,11,0,16,26.66666667,15,60,0,0,0,36.76923077,15,118,2,1,3,6,2,2,112.653524849765,170.255676881626,401.284766480812,446.80053737672,100.686005553879,101.511839512256,43.3490342468853,40.6333485885546,10.56329983152,186.459969011823,17.674258969017,421.05202815627,2.131087345954,101.44888712952,5.437277153248,43.2934934140523,0,191.741618927583,0,412.214898671762,0,102.514430802497,0,40.5748548374283,40.538737636412,153.350030702211,119.213931667515,440.106020448367,23.653733289131,134.150662542802,10.7804578415017,48.8708142472914,59.499796441133,157.738346709577,118.37475224013,406.067481266898,35.418034810853,100.944687914409,22.683343800888,46.5412425384256,39.39742153703,197.665794584123,57.945033974955,477.588237980931,10.599355022955,111.369687806794,3.5388936256806,41.9725299136184,"error5","Component4","None",1,1,4,6,2
"7",7,"MID10807","model2",20,6,0,25,67.5,15,90,0,0,0,25.68421053,15,143,2,1,4,2,2,4,112.3335,170.857742932133,400.8862,447.681462304712,90.68309,101.145240426197,42.72227,40.3991318247719,10.1965,180.83845,163.2765,400.31835,1.12791000000001,93.875985,12.11607,38.912105,0,175.7402,0,318.6801,0,93.31203,0,32.85407,14.7789,163.109375,142.9668,436.03125,56.57101,121.0517475,5.8516,42.946105,4.90740000000002,174.4191,20.7666,421.169,27.86599,107.550205,8.13686,49.41541,14.7881,195.28895,17.57,488.5205,1.67419,100.377005,13.48525,39.880615,"error4","Component3, Component4","None",1,1,3,3,1
"8",8,"MID10808","model3",19,10,1,16,35,15,75,0,0,0,26.2,15,75,4,3,0,4,5,3,138.503484349497,170.884172310862,450.1147354705,446.885122850135,82.8805510434514,100.659670367764,49.0540842722559,40.5184977234896,22.682340497783,174.596797055228,83.600826105727,396.051759465805,15.464742465039,101.620822066351,7.3953563934505,42.3888680924047,19.823455983626,172.073389003343,63.533045509806,380.754359881534,15.03906077076,99.0793791221972,7.3953563934505,41.9093400775724,138.503484349497,170.884172310862,450.1147354705,446.885122850135,82.8805510434514,100.659670367764,49.0540842722559,40.5184977234896,39.369043687763,183.048897172382,145.592286542467,458.947208650251,8.73825138514501,103.399211110138,12.5300438900175,49.4002659409519,41.188573593217,187.567005252107,90.142951579794,438.441716120171,19.7086822836096,100.321698874616,16.5127265176621,40.9826175215934,"error1","Component4","Component4",3,3,0,4,3
"9",9,"MID10809","model4",19,9,3,21,37.5,15,60,152,30,274,24.38888889,15,79,3,4,0,3,5,3,124.042790327302,171.152511426502,477.689261992046,447.193167958807,88.4925866904108,100.671138223228,38.4364791542122,40.4852679342846,36.832519373179,160.163096293505,67.277267273232,427.79285458721,19.3580957472243,104.652457091404,9.3503706469715,43.4564977098418,36.832519373179,158.186222553192,67.277267273232,431.127183982348,19.3580957472243,104.410570007126,9.3503706469715,43.8814534535539,124.042790327302,171.152511426502,477.689261992046,447.193167958807,88.4925866904108,100.671138223228,38.4364791542122,40.4852679342846,45.38256833389,170.050242131919,174.144473883158,499.915149144322,27.3844511106815,101.900752889241,12.9943287329666,50.5436234902342,55.1182223126,176.813723199915,94.178026069781,454.231810742842,3.6377877340074,98.7616854294199,18.8621044695242,35.2595560500731,"error1","Component1, Component2, Component4","Component3",3,3,0,3,3
"10",10,"MID10810","model4",19,6,2,23,59.8,15,150,334,334,334,19.15789474,15,30,2,2,1,3,2,4,113.8837,170.619862779653,430.4508,447.480779815023,82.42806,100.679385210599,42.46,40.5227945781777,6.17140000000001,160.7322,43.3805,387.48565,5.37226000000001,95.16959,4.74003,39.473615,17.8233,166.55815,80.8328,406.2118,5.92885000000001,95.447885,10.5903,36.54848,0,133.671,0,430.2831,0,96.65594,0,48.16422,17.8155,168.336733333333,135.3902,461.0208,3.73999999999999,101.557066666667,2.02305,48.7860033333333,2.9119,182.58265,36.6817,458.62765,16.82273,92.999435,4.02246,42.47744,"error5","Component4","Component3",1,1,0,3,1
